Extraversion; Openess; Conscientiosness; Agreeableness; Neuroticism; Traverse Time; #waypoints
0,29;0,124;0,306;0;0,396;64,90115;3
0,239;0,678;0,122;0;0,741;66,01611;3
0,239;0,678;0,122;0;0,741;64,46709;3
0,239;0,678;0,122;0;0,741;76,28981;3
0,239;0,678;0,122;0;0,741;63,26614;3
0,239;0,678;0,122;0;0,741;70,84122;3
0,239;0,678;0,122;0;0,741;62,59425;3
0,239;0,678;0,122;0;0,741;51,49395;3
0,239;0,678;0,122;0;0,741;81,75046;3
0,239;0,678;0,122;0;0,741;48,64108;3
0,239;0,678;0,122;0;0,741;61,44862;3
0,239;0,678;0,122;0;0,741;75,06353;3
0,239;0,678;0,122;0;0,741;49,74229;3
0,29;0,124;0,306;0;0,396;83,35942;3
0,29;0,124;0,306;0;0,396;60,11484;3
0,239;0,678;0,122;0;0,741;67,15366;3
0,239;0,678;0,122;0;0,741;77,35353;3
0,239;0,678;0,122;0;0,741;87,46933;3
0,29;0,124;0,306;0;0,396;52,75967;3
0,29;0,124;0,306;0;0,396;99,61005;3
0,239;0,678;0,122;0;0,741;69,45427;3
0,239;0,678;0,122;0;0,741;81,10172;3
0,239;0,678;0,122;0;0,741;51,25373;3
0,239;0,678;0,122;0;0,741;41,23231;3
0,239;0,678;0,122;0;0,741;80,5472;3
0,239;0,678;0,122;0;0,741;84,71687;3
0,239;0,678;0,122;0;0,741;59,36731;3
0,239;0,678;0,122;0;0,741;68,62305;3
0,29;0,124;0,306;0;0,396;114,7764;3
0,239;0,678;0,122;0;0,741;66,83995;3
0,29;0,124;0,306;0;0,396;91,98398;3
0,239;0,678;0,122;0;0,741;107,0794;3
0,29;0,124;0,306;0;0,396;103,6059;3
0,239;0,678;0,122;0;0,741;65,20316;3
